CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
NORTH,1,32,11,10.222.196.207,2880,12-Feb-22,2362428,2362428,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,32,12,10.222.196.207,2881,12-Feb-22,1128,1128,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,33,11,10.222.196.208,2885,12-Feb-22,406132,474222,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,33,12,10.222.196.208,2886,12-Feb-22,40145,40145,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,34,11,10.222.196.209,2890,12-Feb-22,566718,566718,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,34,12,10.222.196.209,2891,12-Feb-22,2907128,2907128,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,35,11,10.222.196.239,2895,12-Feb-22,805902,805902,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,35,12,10.222.196.239,2896,12-Feb-22,482472,482472,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,36,11,10.222.196.245,2900,12-Feb-22,564,564,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,36,12,10.222.196.245,2901,12-Feb-22,798817,798817,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
NORTH,1,11,11,10.222.196.189,2775,13-Feb-22,813,813,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,11,12,10.222.196.189,2776,13-Feb-22,566,566,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,12,11,10.222.196.190,2780,13-Feb-22,5422,5422,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,12,12,10.222.196.190,2781,13-Feb-22,2257,2257,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,13,11,10.222.196.191,2785,13-Feb-22,1130,1130,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,13,12,10.222.196.191,2786,13-Feb-22,1129,1129,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,14,11,10.222.196.192,2790,13-Feb-22,2327,2327,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,14,12,10.222.196.192,2791,13-Feb-22,53235,55445,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,15,11,10.222.197.161,2795,13-Feb-22,1303,1303,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,15,12,10.222.197.161,2796,13-Feb-22,15479,15479,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,16,11,10.222.197.162,2800,13-Feb-22,594302,640653,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,16,12,10.222.197.162,2801,13-Feb-22,3939,3939,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,17,11,10.222.197.163,2805,13-Feb-22,897,897,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,17,12,10.222.197.163,2806,13-Feb-22,53150,53150,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,18,11,10.222.197.164,2810,13-Feb-22,267039,298388,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,18,12,10.222.197.164,2811,13-Feb-22,594689,599688,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
NORTH,1,19,11,10.222.197.165,2815,13-Feb-22,8278868,8367506,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD,09-MAR-22 02.44.23.170302000 PM,SKVN_DB_PRD
